Definição Synset,ID Synset,Definição Relacionada,ID Relacionada,Relação
any of various nonruminant hoofed mammals having very thick skin: elephant; rhinoceros; hippopotamus,pachyderm.n.01,five-toed pachyderm,elephant.n.01,Hyponyms
"a form of torture in which the hands are tied behind a person's back and they are lifted off the ground by a rope tied to their wrists, then allowed to drop until their fall is checked with a jerk by the rope",strappado.n.01,"the deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason",torture.n.05,Hypernyms
small stocky Mexican fish; popular aquarium fish,platy.n.01,small usually brightly-colored viviparous surface-feeding fishes of fresh or brackish warm waters; often used in mosquito control,topminnow.n.01,Hypernyms
any of various parasites that live in the internal organs of animals (especially intestinal worms),endoparasite.n.01,an animal or plant that lives in or on a host (another animal or plant); it obtains nourishment from the host without benefiting or killing the host,parasite.n.01,Hypernyms
excavate the earth beneath,sap.v.02,hollow out as if making a cave or opening,cave.v.01,Hypernyms
an armor-plated truck with strong doors and locks used to transport money or valuables,armored_car.n.01,a vehicle that is protected by armor plate,armored_vehicle.n.01,Hypernyms
the quality of failing to be considerate of others,inconsideration.n.01,lack of sympathy,unkindness.n.01,Hypernyms
the quality of failing to be considerate of others,inconsideration.n.01,the quality of being direct and outspoken,bluntness.n.01,Hyponyms
the quality of failing to be considerate of others,inconsideration.n.01,the quality of lacking tact,tactlessness.n.01,Hyponyms
hard tough wood of any dogwood of the genus Cornus; resembles boxwood,dogwood.n.02,the hard fibrous lignified substance under the bark of trees,wood.n.01,Hypernyms
a dealer in equipment and supplies for ships,ship_chandler.n.01,someone who markets merchandise,distributor.n.01,Hypernyms
bake in an oven,ovenbake.v.01,cook and make edible by putting in a hot oven,bake.v.01,Hypernyms
the becoming visible,emergence.n.02,the event consisting of the start of something,beginning.n.01,Hypernyms
the becoming visible,emergence.n.02,the emergence of seeds as seed pods burst open when they are ripe,dissilience.n.01,Hyponyms
the becoming visible,emergence.n.02,the emergence of a tooth as it breaks through the gum,eruption.n.06,Hyponyms
a calendar based on both lunar and solar cycles,lunisolar_calendar.n.01,a system of timekeeping that defines the beginning and length and divisions of the year,calendar.n.01,Hypernyms
a calendar based on both lunar and solar cycles,lunisolar_calendar.n.01,the lunisolar calendar governing the religious life of Hindus; an extra month is inserted after every month in which there are two new moons (once every three years),hindu_calendar.n.01,Hyponyms
a calendar based on both lunar and solar cycles,lunisolar_calendar.n.01,(Judaism) the calendar used by the Jews; dates from 3761 BC (the assumed date of the Creation of the world); a lunar year of 354 days is adjusted to the solar year by periodic leap years,jewish_calendar.n.01,Hyponyms
a line of scalp that can be seen when sections of hair are combed in opposite directions,part.n.10,a spatial location defined by a real or imaginary unidimensional extent,line.n.11,Hypernyms
place limits on (extent or access),restrict.v.03,lessen the intensity of; temper; hold in restraint; hold or keep within limits,control.v.02,Hypernyms
place limits on (extent or access),restrict.v.03,check the emission of (sound),baffle.v.03,Hyponyms
place limits on (extent or access),restrict.v.03,repress or suppress (something regarded as undesirable),clamp_down.v.01,Hyponyms
place limits on (extent or access),restrict.v.03,reasonably object (to) or set a limit (on),draw_the_line.v.01,Hyponyms
place limits on (extent or access),restrict.v.03,restrict (school boys') movement to the dormitory or campus as a means of punishment,gate.v.03,Hyponyms
place limits on (extent or access),restrict.v.03,prevent the progress or free movement of,hamper.v.01,Hyponyms
place limits on (extent or access),restrict.v.03,limit the range or extent of,inhibit.v.02,Hyponyms
place limits on (extent or access),restrict.v.03,set boundaries to and delimit,mark_off.v.01,Hyponyms
place limits on (extent or access),restrict.v.03,narrow or limit,reduce.v.11,Hyponyms
place limits on (extent or access),restrict.v.03,hold back,restrain.v.04,Hyponyms
place limits on (extent or access),restrict.v.03,keep in check,rule.v.07,Hyponyms
place limits on (extent or access),restrict.v.03,restrict,stiffen.v.03,Hyponyms
place limits on (extent or access),restrict.v.03,limit or restrict to,tie.v.03,Hyponyms
a mercury thermometer that measures small differences or changes in temperature,beckman_thermometer.n.01,thermometer consisting of mercury contained in a bulb at the bottom of a graduated sealed glass capillary tube marked in degrees Celsius or Fahrenheit; mercury expands with a rise in temperature causing a thin thread of mercury to rise in the tube,mercury_thermometer.n.01,Hypernyms
an entomologist who specializes in the collection and study of butterflies and moths,lepidopterist.n.01,a zoologist who studies insects,entomologist.n.01,Hypernyms
type genus of the family Notoryctidae: comprising solely the marsupial mole,notoryctus.n.01,a genus of mammals,mammal_genus.n.01,Hypernyms
a drinker who sips,sipper.n.01,a person who drinks liquids,drinker.n.01,Hypernyms
an arrangement of flowers that is usually given as a present,bouquet.n.01,a decorative arrangement of flowers,flower_arrangement.n.01,Hypernyms
(biology) a hypothetical force (not physical or chemical) once thought by Henri Bergson to cause the evolution and development of organisms,life_force.n.01,(physics) the influence that produces a change in a physical quantity,force.n.02,Hypernyms
extreme mental retardation,idiocy.n.01,lack of normal development of intellectual capacities,retardation.n.04,Hypernyms
plain-woven (often glazed) fabric of wool or wool and cotton used especially formerly for linings and garments and curtains,tammy.n.01,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers,fabric.n.01,Hypernyms
a member of an extinct North American Indian people who lived in northern California,yahi.n.01,a member of a North American Indian people speaking one of the Hokan languages,hokan.n.02,Hypernyms
the sharp point of a pin,pinpoint.n.03,sharp end,point.n.15,Hypernyms
"strike, usually with the fist",pummel.v.01,"deal a blow to, either with the hand or with an instrument",hit.v.03,Hypernyms
a form of untrustworthiness; the trait of lacking a sense of responsibility and not feeling accountable for your actions,irresponsibility.n.01,the trait of not deserving trust or confidence,untrustworthiness.n.01,Hypernyms
a form of untrustworthiness; the trait of lacking a sense of responsibility and not feeling accountable for your actions,irresponsibility.n.01,the trait of being without worry or responsibility,carefreeness.n.02,Hyponyms
a form of untrustworthiness; the trait of lacking a sense of responsibility and not feeling accountable for your actions,irresponsibility.n.01,the trait of acting unpredictably and more from whim or caprice than from reason or judgment,flightiness.n.01,Hyponyms
a form of untrustworthiness; the trait of lacking a sense of responsibility and not feeling accountable for your actions,irresponsibility.n.01,the trait of not being dependable or reliable,undependability.n.01,Hyponyms
interest paid on loans,interest_expense.n.01,amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures),expense.n.01,Hypernyms
a transparent thermoplastic acrylic resin,lucite.n.01,a transparent plastic used as a substitute for glass,polymethyl_methacrylate.n.01,Hypernyms
execution by electricity,electrocution.n.01,putting a condemned person to death,execution.n.01,Hypernyms
renal disorder characterized by the production of large volumes of pale dilute urine; often associated with diabetes,polyuria.n.01,a disease affecting the kidneys,kidney_disease.n.01,Hypernyms
a disposable absorbent pad (trade name Kotex); worn to absorb menstrual flow,sanitary_napkin.n.01,"a flat mass of soft material used for protection, stuffing, or comfort",pad.n.04,Hypernyms
fit as if by joints,joint.v.01,be the right size or shape; fit correctly or as desired,fit.v.02,Hypernyms
the territory occupied by one of the constituent administrative districts of a nation,state.n.01,a district defined for administrative purposes,administrative_district.n.01,Hypernyms
the territory occupied by one of the constituent administrative districts of a nation,state.n.01,one of the 50 states of the United States,american_state.n.01,Hyponyms
the territory occupied by one of the constituent administrative districts of a nation,state.n.01,one of the several states constituting Australia,australian_state.n.01,Hyponyms
the territory occupied by one of the constituent administrative districts of a nation,state.n.01,Canada is divided into 12 provinces for administrative purposes,canadian_province.n.01,Hyponyms
the territory occupied by one of the constituent administrative districts of a nation,state.n.01,the official name of some states in the United States (Massachusetts and Pennsylvania and Virginia and Kentucky) and associated territories (Puerto Rico),commonwealth.n.01,Hyponyms
the territory occupied by one of the constituent administrative districts of a nation,state.n.01,a province in ancient Greece,eparchy.n.01,Hyponyms
the territory occupied by one of the constituent administrative districts of a nation,state.n.01,Italy is divided into 20 regions for administrative purposes,italian_region.n.01,Hyponyms
the territory occupied by one of the constituent administrative districts of a nation,state.n.01,one of the states that formerly made up the former Union of Soviet Socialist Republics (1922-1991),soviet_socialist_republic.n.01,Hyponyms
become (more) democratic; of nations,democratize.v.01,undergo a change; become different in essence; losing one's or its original nature,change.v.02,Hypernyms
the growing of vegetables or flowers for market,market_gardening.n.01,the cultivation of plants,gardening.n.01,Hypernyms
a particular seat in an orchestra,chair.n.05,any support where you can sit (especially the part of a chair or bench etc. on which you sit),seat.n.04,Hypernyms
a bluish-white lustrous metallic element; brittle at ordinary temperatures but malleable when heated; used in a wide variety of alloys and in galvanizing iron; it occurs naturally as zinc sulphide in zinc blende,zinc.n.01,any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.,metallic_element.n.01,Hypernyms
a bluish-white lustrous metallic element; brittle at ordinary temperatures but malleable when heated; used in a wide variety of alloys and in galvanizing iron; it occurs naturally as zinc sulphide in zinc blende,zinc.n.01,impure zinc containing about three percent lead and other impurities (especially in the form of ingots),spelter.n.01,Hyponyms
be a hindrance or obstacle to,impede.v.01,stop (someone or something) from doing something or being in a certain state,prevent.v.02,Hypernyms
be a hindrance or obstacle to,impede.v.01,hamper the action or progress of,hobble.v.02,Hyponyms
be a hindrance or obstacle to,impede.v.01,"limit, block, or decrease the action or function of",inhibit.v.03,Hyponyms
be a hindrance or obstacle to,impede.v.01,come between so as to be hindrance or obstacle,interfere.v.01,Hyponyms
be a hindrance or obstacle to,impede.v.01,block passage through,obstruct.v.02,Hyponyms
be a hindrance or obstacle to,impede.v.01,slow down the progress of; hinder,set_back.v.02,Hyponyms
be a hindrance or obstacle to,impede.v.01,check the growth or development of,stunt.v.01,Hyponyms
an essay on a scientific or scholarly topic,memoir.n.02,an analytic or interpretive literary composition,essay.n.01,Hypernyms
a male witch or demon,warlock.n.01,a being (usually female) imagined to have special powers derived from the devil,witch.n.02,Hypernyms
a lens that focuses the image in a camera,camera_lens.n.01,a transparent optical device used to converge or diverge transmitted light and to form images,lens.n.01,Hypernyms
a lens that focuses the image in a camera,camera_lens.n.01,a photographic lens with a short focal length used to take pictures at short ranges,closeup_lens.n.01,Hyponyms
a lens that focuses the image in a camera,camera_lens.n.01,a compound camera lens with a relatively high aperture,portrait_lens.n.01,Hyponyms
a lens that focuses the image in a camera,camera_lens.n.01,a camera lens that magnifies the image,telephoto_lens.n.01,Hyponyms
a lens that focuses the image in a camera,camera_lens.n.01,a camera lens having a wider than normal angle of view (and usually a short focal length); produces an image that is foreshortened in the center and increasingly distorted in the periphery,wide-angle_lens.n.01,Hyponyms
a certificate showing who is responsible in an individually owned business,proprietorship_certificate.n.01,a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends,security.n.04,Hypernyms
cap used to keep lens free of dust when not in use,lens_cap.n.01,something serving as a cover or protection,cap.n.04,Hypernyms
(frequently plural) expenses incurred by an employee in the performance of the job and usually reimbursed by the employer,travel_expense.n.01,money spent to perform work and usually reimbursed by an employer,expense.n.03,Hypernyms
ibises,genus_ibis.n.01,a genus of birds,bird_genus.n.01,Hypernyms
a protective pad over a mattress to protect it,mattress_pad.n.01,"a flat mass of soft material used for protection, stuffing, or comfort",pad.n.04,Hypernyms
any of numerous usually marine and free-swimming coelenterates that constitute the sexually reproductive forms of hydrozoans and scyphozoans,jellyfish.n.02,radially symmetrical animals having saclike bodies with only one opening and tentacles with stinging structures; they occur in polyp and medusa forms,coelenterate.n.01,Hypernyms
any of numerous usually marine and free-swimming coelenterates that constitute the sexually reproductive forms of hydrozoans and scyphozoans,jellyfish.n.02,small medusa,aegina.n.02,Hyponyms
any of numerous usually marine and free-swimming coelenterates that constitute the sexually reproductive forms of hydrozoans and scyphozoans,jellyfish.n.02,a type of jellyfish,chrysaora_quinquecirrha.n.01,Hyponyms
"a unit of information equal to 1024 mebibytes or 2^30 (1,073,741,824) bytes",gigabyte.n.02,a unit for measuring computer memory,computer_memory_unit.n.01,Hypernyms
tall iced drink of liquor (usually gin) with fruit juice,collins.n.02,a mixed drink made of alcoholic liquor mixed with water or a carbonated beverage and served in a tall glass,highball.n.01,Hypernyms
a colorless flammable liquid obtained from petroleum or coal tar; used as a solvent for gums and lacquers and in high-octane fuels,toluene.n.01,organic compound that has an alkyl group bound to a benzene ring,alkylbenzene.n.01,Hypernyms
a colorless flammable liquid obtained from petroleum or coal tar; used as a solvent for gums and lacquers and in high-octane fuels,toluene.n.01,a liquid substance capable of dissolving other substances,solvent.n.01,Hypernyms
any agent that produces relaxation,relaxer.n.01,an active and efficient cause; capable of producing a certain effect,agent.n.01,Hypernyms
an abnormal or physiologically unbalanced state of the body,dyscrasia.n.01,a state in which you are unable to function normally and without pain,ill_health.n.01,Hypernyms
an abnormal or physiologically unbalanced state of the body,dyscrasia.n.01,any abnormal condition of the blood,blood_dyscrasia.n.01,Hyponyms
"separate clearly, as if by boundaries",demarcate.v.01,mark as different,distinguish.v.01,Hypernyms
an elastic adhesive bandage for covering cuts or wounds,elastoplast.n.01,bandage consisting of a medical dressing of plain absorbent gauze held in place by a plastic or fabric tape coated with adhesive,adhesive_bandage.n.01,Hypernyms
an elastic adhesive bandage for covering cuts or wounds,elastoplast.n.01,a bandage containing stretchable material that can apply local pressure,elastic_bandage.n.01,Hypernyms
expressing sorrowfulness,plaintiveness.n.01,a state of gloomy sorrow,mournfulness.n.01,Hypernyms
liquorice-flavored usually colorless sweet liqueur made from aniseed,anisette.n.01,strong highly flavored sweet liquor usually drunk after a meal,liqueur.n.01,Hypernyms
being of a suspicious nature,suspicion.n.04,the trait of not trusting others,distrust.n.02,Hypernyms
the bearing of fruit,fructification.n.01,(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level,growth.n.01,Hypernyms
one of the veins serving the fingers or toes,digital_vein.n.01,a blood vessel that carries blood from the capillaries toward the heart,vein.n.01,Hypernyms
difficult or labored respiration,dyspnea.n.01,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease,symptom.n.01,Hypernyms
difficult or labored respiration,dyspnea.n.01,form of dyspnea in which the person can breathe comfortably only when standing or sitting erect; associated with asthma and emphysema and angina pectoris,orthopnea.n.01,Hyponyms
difficult or labored respiration,dyspnea.n.01,a dyspneic condition,shortness_of_breath.n.01,Hyponyms
payment (usually by doctors or lawyers) of part of the fee in return for the referral,fee_splitting.n.01,the act of paying money,payment.n.02,Hypernyms
a selection or decision purely at random,lucky_dip.n.02,the selection of a random sample; each element of the population has an equal chance of been selected,random_sampling.n.01,Hypernyms
benign tumor containing both bone and cartilage; usually occurs near the end of a long bone,osteochondroma.n.01,a tumor that is not cancerous,benign_tumor.n.01,Hypernyms
comfort in disappointment or misery,solace.n.02,a state of being relaxed and feeling no pain,comfort.n.01,Hypernyms
make pure or free from sin or guilt,purify.v.02,cause to change; make different; cause a transformation,change.v.01,Hypernyms
make pure or free from sin or guilt,purify.v.02,purify by means of a ritual; also used in post-Communist countries to refer to the political cleansing of former officials,lustrate.v.01,Hyponyms
make pure or free from sin or guilt,purify.v.02,purify from the corrupting influences of the world,spiritualize.v.03,Hyponyms
type genus of the family Pennatulidae: sea pens,pennatula.n.01,a genus of coelenterates,coelenterate_genus.n.01,Hypernyms
an antibiotic that is especially active against the tubercle bacillus,cycloserine.n.01,a chemical substance derivable from a mold or bacterium that can kill microorganisms and cure bacterial infections,antibiotic.n.01,Hypernyms
large swift fly the female of which sucks blood of various animals,horsefly.n.02,any of various large flies that annoy livestock,gadfly.n.02,Hypernyms
any of a group of steroid hormones that have the effect of progesterone,progestin.n.01,any hormone affecting the development and growth of sex organs,steroid_hormone.n.01,Hypernyms
any of a group of steroid hormones that have the effect of progesterone,progestin.n.01,a progestin compound (trade name Provera) used to treat menstrual disorders,medroxyprogesterone.n.01,Hyponyms
any of a group of steroid hormones that have the effect of progesterone,progestin.n.01,a synthetic progestational compound used to treat endometrial carcinoma,megestrol.n.01,Hyponyms
any of a group of steroid hormones that have the effect of progesterone,progestin.n.01,a synthetic progestational hormone (trade name Norlutin) used in oral contraceptives and to treat endometriosis,norethindrone.n.01,Hyponyms
any of a group of steroid hormones that have the effect of progesterone,progestin.n.01,a progesterone derivative used in oral contraceptives and in the control of menstruation and the treatment of abnormal uterine bleeding,norethynodrel.n.01,Hyponyms
any of a group of steroid hormones that have the effect of progesterone,progestin.n.01,synthetic progestin used in oral contraceptives,norgestrel.n.01,Hyponyms
any of a group of steroid hormones that have the effect of progesterone,progestin.n.01,a steroid hormone (trade name Lipo-Lutin) produced in the ovary; prepares and maintains the uterus for pregnancy,progesterone.n.01,Hyponyms
a structure in which animals lay eggs or give birth to their young,nest.n.01,an object occurring naturally; not made by man,natural_object.n.01,Hypernyms
a structure in which animals lay eggs or give birth to their young,nest.n.01,a structure that provides a natural habitation for bees; as in a hollow tree,beehive.n.02,Hyponyms
a structure in which animals lay eggs or give birth to their young,nest.n.01,nest where birds lay their eggs and hatch their young,bird's_nest.n.01,Hyponyms
a structure in which animals lay eggs or give birth to their young,nest.n.01,the nest of a squirrel,drey.n.01,Hyponyms
a structure in which animals lay eggs or give birth to their young,nest.n.01,where mice bear and raise their young,mouse_nest.n.01,Hyponyms
a structure in which animals lay eggs or give birth to their young,nest.n.01,a nest in which spiders or insects deposit their eggs,nidus.n.02,Hyponyms
a fungus that has an off-white cap when it is young but later becomes dingy brown and a stalk of the same color; the under surface of the cap (the tubes) a pale greenish yellow,boletus_pallidus.n.01,any fungus of the family Boletaceae,bolete.n.01,Hypernyms
unskillfulness resulting from a lack of training,awkwardness.n.01,a lack of cognitive skill,unskillfulness.n.01,Hypernyms
unskillfulness resulting from a lack of training,awkwardness.n.01,ineptitude or awkwardness as a consequence of age or lack of practice,rustiness.n.02,Hyponyms
a poor chess player,patzer.n.01,someone who plays the game of chess,chess_player.n.01,Hypernyms
one species; sometimes placed in family Saxifragaceae,genus_carpenteria.n.01,a genus of dicotyledonous plants,rosid_dicot_genus.n.01,Hypernyms
slender inland rein orchid similar to coastal rein orchid but with pale greenish-yellow flowers,elegant_habenaria.n.01,any of several American wildflowers with a kidney-shaped lip,rein_orchid.n.01,Hypernyms
a state or atmosphere of harmony or mutual civility and respect,comity.n.01,a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole,harmony.n.03,Hypernyms
a state or atmosphere of harmony or mutual civility and respect,comity.n.01,courteous respect by one nation for the laws and institutions of another,comity_of_nations.n.01,Hyponyms
a rapid series of ascending or descending notes on the musical scale,glissando.n.01,a succession of notes forming a distinctive sequence,tune.n.01,Hypernyms
a rapid series of ascending or descending notes on the musical scale,glissando.n.01,(music) rapid sliding up or down the musical scale,swoop.n.01,Hyponyms
a man who is a native or inhabitant of England,englishman.n.01,a native or inhabitant of England,english_person.n.01,Hypernyms
a man who is a native or inhabitant of England,englishman.n.01,a citizen of an English borough,burgess.n.02,Hyponyms
a man who is a native or inhabitant of England,englishman.n.01,a man who is a native or inhabitant of Cornwall,cornishman.n.01,Hyponyms
a man who is a native or inhabitant of England,englishman.n.01,any distinguished personage during the reign of James I,jacobean.n.01,Hyponyms
a man who is a native or inhabitant of England,englishman.n.01,a man of English descent,limey.n.01,Hyponyms
a man who is a native or inhabitant of England,englishman.n.01,a member of political party in Great Britain that has been known as the Conservative Party since 1832; was the opposition party to the Whigs,tory.n.02,Hyponyms
a man who is a native or inhabitant of England,englishman.n.01,a member of the political party that urged social reform in 18th and 19th century England; was the opposition party to the Tories,whig.n.01,Hyponyms
North American mulberry having dark purple edible fruit,red_mulberry.n.01,any of several trees of the genus Morus having edible fruit that resembles the blackberry,mulberry.n.01,Hypernyms
a military unit composed of foreign volunteers who serve the state,foreign_legion.n.01,a large military unit,legion.n.03,Hypernyms
a military unit composed of foreign volunteers who serve the state,foreign_legion.n.01,a former foreign legion in the French army that was used for military duties outside of France,french_foreign_legion.n.01,Hyponyms
a person who can read but is disinclined to derive information from literary sources,aliterate.n.01,an ignorant person,ignoramus.n.01,Hypernyms
the member with the lowest range of a family of musical instruments,bass.n.07,any of various devices or contrivances that can be used to produce musical tones or sounds,musical_instrument.n.01,Hypernyms
the member with the lowest range of a family of musical instruments,bass.n.07,largest and lowest member of the violin family,bass_fiddle.n.01,Hyponyms
the member with the lowest range of a family of musical instruments,bass.n.07,the guitar with six strings that has the lowest pitch,bass_guitar.n.01,Hyponyms
the member with the lowest range of a family of musical instruments,bass.n.07,the lowest brass wind instrument,bass_horn.n.01,Hyponyms
the member with the lowest range of a family of musical instruments,bass.n.07,a large shawm; the bass member of the shawm family,bombardon.n.02,Hyponyms
a small part of an aggregate fruit that resembles a drupe,drupelet.n.01,fleshy indehiscent fruit with a single seed: e.g. almond; peach; plum; cherry; elderberry; olive; jujube,drupe.n.01,Hypernyms
a small part of an aggregate fruit that resembles a drupe,drupelet.n.01,one of the small drupes making up an aggregate or multiple fruit like a blackberry,acinus.n.01,Hyponyms
a small part of an aggregate fruit that resembles a drupe,drupelet.n.01,large sweet black or very dark purple edible aggregate fruit of any of various bushes of the genus Rubus,blackberry.n.01,Hyponyms
a small part of an aggregate fruit that resembles a drupe,drupelet.n.01,red or black edible aggregate berries usually smaller than the related blackberries,raspberry.n.02,Hyponyms
order of chiefly aquatic fungi,saprolegniales.n.01,the order of fungi,fungus_order.n.01,Hypernyms
speak of in an irreverent or impious manner,blaspheme.v.02,discuss or mention,talk_of.v.01,Hypernyms
someone (or something) expected to achieve great success in a given field,white_hope.n.01,someone (or something) on which expectations are centered,hope.n.04,Hypernyms
the tissue that surrounds the lens nucleus,lens_cortex.n.01,the tissue in the bodies of animals,animal_tissue.n.01,Hypernyms
a fungus resembling slime mold that causes swellings or distortions of the roots of cabbages and related plants,clubroot_fungus.n.01,an organism of the kingdom Fungi lacking chlorophyll and feeding on organic matter; ranging from unicellular or multicellular organisms to spore-bearing syncytia,fungus.n.01,Hypernyms
a violent rainstorm near the time of an equinox,line_storm.n.01,a storm with rain,rainstorm.n.01,Hypernyms
armor plate that protects the foot; consists of mail with a solid toe and heel,solleret.n.01,specially hardened steel plate used to protect fortifications or vehicles from enemy fire,armor_plate.n.01,Hypernyms
a woman postmaster,postmistress.n.01,the person in charge of a post office,postmaster.n.01,Hypernyms
obstruct or hinder any discussion,stonewall.v.01,hinder or prevent the progress or accomplishment of,obstruct.v.01,Hypernyms
a genus of Siphonophora,genus_nanomia.n.01,a genus of coelenterates,coelenterate_genus.n.01,Hypernyms
the property of being very narrow or thin,fineness.n.02,the property of being narrow; having little width,narrowness.n.01,Hypernyms
a protective helmet for the head,headpiece.n.02,a protective headgear made of hard material to resist blows,helmet.n.02,Hypernyms
wild variety of the common fig used to facilitate pollination of certain figs,caprifig.n.01,Mediterranean tree widely cultivated for its edible fruit,fig.n.02,Hypernyms
marine gastropod mollusk having a very small thin shell,bubble_shell.n.01,a class of mollusks typically having a one-piece coiled shell and flattened muscular foot with a head bearing stalked eyes,gastropod.n.01,Hypernyms
preference for using the left hand,left-handedness.n.02,the property of using one hand more than the other,handedness.n.01,Hypernyms
the brown fur of a muskrat,muskrat.n.01,the dressed hairy coat of a mammal,fur.n.01,Hypernyms
the brown fur of a muskrat,muskrat.n.01,muskrat fur dressed to simulate sealskin,hudson_seal.n.01,Hyponyms
produce a literary work,write.v.01,create with or from words,create_verbally.v.01,Hypernyms
produce a literary work,write.v.01,add explanatory notes to or supply with critical comments,annotate.v.01,Hyponyms
produce a literary work,write.v.01,be the author of,author.v.01,Hyponyms
produce a literary work,write.v.01,write quickly,dash_off.v.01,Hyponyms
produce a literary work,write.v.01,draw up an outline or sketch for something,draft.v.01,Hyponyms
produce a literary work,write.v.01,put into dramatic form,dramatize.v.01,Hyponyms
produce a literary work,write.v.01,write a legal document or paper,draw.v.18,Hyponyms
produce a literary work,write.v.01,write lyrics for (a song),lyric.v.01,Hyponyms
produce a literary work,write.v.01,write about in a paragraph,paragraph.v.02,Hyponyms
produce a literary work,write.v.01,write paragraphs; work as a paragrapher,paragraph.v.03,Hyponyms
produce a literary work,write.v.01,write about,profile.v.01,Hyponyms
produce a literary work,write.v.01,refer to,reference.v.01,Hyponyms
produce a literary work,write.v.01,rewrite so as to make fit to suit a new or different purpose,rewrite.v.02,Hyponyms
produce a literary work,write.v.01,write a script for,script.v.01,Hyponyms
produce a literary work,write.v.01,compose verses or put into verse,verse.v.01,Hyponyms
produce a literary work,write.v.01,write for commercial publications,write_copy.v.01,Hyponyms
produce a literary work,write.v.01,"write something fluently, and without hesitation",write_off.v.02,Hyponyms
produce a literary work,write.v.01,write about a particular topic,write_on.v.01,Hyponyms
produce a literary work,write.v.01,put into writing; write in complete form,write_out.v.01,Hyponyms
the table in Christian churches where communion is given,altar.n.01,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,table.n.02,Hypernyms
a strong wooden or metal post with a point at one end so it can be driven into the ground,stake.n.05,an upright consisting of a piece of timber or metal fixed firmly in an upright position,post.n.04,Hypernyms
a scandal that is kept secret,skeleton.n.02,a disgraceful event,scandal.n.02,Hypernyms
a debt instrument issued by a bank; usually pays interest,certificate_of_deposit.n.01,a written promise to repay a debt,debt_instrument.n.01,Hypernyms
a debt instrument issued by a bank; usually pays interest,certificate_of_deposit.n.01,a certificate of deposit from which withdrawals can be made only after advance notice or at a specified future date,time_deposit.n.01,Hyponyms
the occupation of catching fish for a living,fishing.n.02,the activity of providing goods and services involving financial and commercial and industrial aspects,commercial_enterprise.n.02,Hypernyms
the act of participating in an athletic competition involving running on a track,track.n.11,participating in athletic sports performed on a running track or on the field associated with it,track_and_field.n.01,Hypernyms
any oil used to oil wool before spinning,wool_oil.n.01,any oil obtained from animal substances,animal_oil.n.01,Hypernyms
grow below something,undergrow.v.01,increase in size by natural process,grow.v.03,Hypernyms
piece of leather that comprises the part of a shoe or boot covering the heel and joining the vamp,quarter.n.13,a separate part consisting of leather,piece_of_leather.n.01,Hypernyms
place in a chamber,chamber.v.01,provide housing for,house.v.02,Hypernyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,the work of providing treatment for or attending to someone or something,care.n.01,Hypernyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,treatment of symptoms by applying pressure with the fingers to specific pressure points on the body,acupressure.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,treatment of pain or disease by inserting the tips of needles at specific points on the skin,acupuncture.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,training patients in self-induced relaxation,autogenic_therapy.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,a method of treatment that manipulates body structures (especially the spine) to relieve low back pain or even headache or high blood pressure,chiropractic.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,a treatment for addiction to drugs or alcohol intended to remove the physiological effects of the addictive substances,detoxification.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,application of warm wet coverings to a part of the body to relieve pain and inflammation,fomentation.n.02,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,the internal and external use of water in the treatment of disease,hydropathy.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,kneading and rubbing parts of the body to increase circulation and promote relaxation,massage.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,professional treatment for illness or injury,medical_care.n.01,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,a method of therapy that involves physical or electrical therapeutic treatment,modality.n.04,Hyponyms
care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury),treatment.n.01,a drugless method of treatment based on the belief that disease symptoms arise from problems with ligaments and connective tissues,naprapathy.n.01,Hyponyms
